"SELLER_ID","SELLER_ZIP_CODE","SELLER_CITY","SELLER_STATE","SELLER_LAT","SELLER_LNG"
"3442f8959a84dea7ee197c632cb2df15","13023","campinas","SP","-22.89331719","-47.060596205"
"d1b65fc7debc3361ea86b5f14c68d2e2","13844","mogi guacu","SP","-22.383374842","-46.94814214"
"ce3ad9de960102d0677a81f5d0bb7b2d","20031","rio de janeiro","RJ","-22.909446387","-43.180239527"
"c0f3eea2e14555b6faeea3dd58c1b1c3","04195","sao paulo","SP","-23.657118436","-46.612729931"
"51a04a8a6bdcb23deccc82b0b80742cf","12914","braganca paulista","SP","-22.964546458","-46.534213599"
"c240c4061717ac1806ae6ee72be3533b","20920","rio de janeiro","RJ","-22.895420153","-43.230347097"
"e49c26c3edfa46d227d5121a6b6e4d37","55325","brejao","PE","-9.024839005","-36.57020045"
"1b938a7ec6ac5061a66a3766e0e75f90","16304","penapolis","SP","-21.436451729","-50.077135818"
"768a86e36ad6aae3d03ee3c6433d61df","01529","sao paulo","SP","-23.568373629","-46.634470795"
"ccc4bbb5f32a6ab2b7066a4130f114e3","80310","curitiba","PR","-25.456890207","-49.309771575"
"8cb7c5ddf41f4d506eba76e9a4702a25","75110","anapolis","GO","-16.333438523","-48.940539908"
"a7a9b880c49781da66651ccf4ba9ac38","13530","itirapina","SP","-22.251861673","-47.813852096"
"8bd0f31cf0a614c658f6763bd02dea69","01222","sao paulo","SP","-23.545988762","-46.649524511"
"05a48cc8859962767935ab9087417fbb","05372","sao paulo","SP","-23.576348306","-46.749926015"
"7b8e8ec35bad4b0ef7e3963650b0a87b","88705","tubarao","SC","-28.478607283","-48.995526285"
"1444c08e64d55fb3c25f0f09c07ffcf2","42738","lauro de freitas","BA","-12.893814632","-38.338935692"
"166e8f1381e09651983c38b1f6f91c11","88780","imbituba","SC","-28.232438311","-48.680223434"
"e38db885400cd35c71dfd162f2c1dbcf","70740","brasilia","DF","-15.768176598","-47.89117485"
"d2e753bb80b7d4faa77483ed00edc8ca","45810","porto seguro","BA","-16.432325","-39.076204137"
"f9ec7093df3a7b346b7bcf7864069ca3","05138","sao paulo","SP","-23.484964809","-46.733913071"
"4e6015589b781adaa5ce7f1892d06bb1","11440","guaruja","SP","-23.983541239","-46.240420087"
"4cf490a58259286ada5ba8525ba9e84a","14910","tabatinga","SP","-21.737063348","-48.687568768"
"f7496d659ca9fdaf323c0aae84176632","04156","sao paulo","SP","-23.631075034","-46.622398625"
"2ff97219cb8622eaf3cd89b7d9c09824","13320","salto","SP","-23.202662996","-47.295784086"
"8bd0e3abda539b9479c4b44a691be1ec","98910","tres de maio","RS","-27.776497717","-54.235323793"
"2a1348e9addc1af5aaa619b1a3679d6b","30494","belo horizonte","MG","-19.961548128","-43.960575689"
"2078fe5066350e7d220c0ad3a3bbc6c1","86707","arapongas","PR","-23.42476867","-51.433815037"
"116ccb1a1604bc88e4d234a8c23f33de","09850","sao bernardo do campo","SP","-23.725519054","-46.581503631"
"430315b7bb4b6e4b3c978f9dfa9b0558","04857","sao paulo","SP","-23.763596191","-46.688644893"
"406822777a0b9eb5c50e442dd4cd3ec5","18500","tatui","SP","-23.049655735","-47.837303157"
"4dbd95a08b31ede5c82d3f861cb1ce1a","80210","curitiba","PR","-25.440710888","-49.245562802"
"e9e446d01bd10a97a8ffcfc4a3a20cb2","02261","sao paulo","SP","-23.467468969","-46.577038818"
